00.0224 , +08.95683360 ,  6.33
00.0224 , -06.05918213 ,  8.99
00.0224 , +06.33313676 ,  8.64
00.0225 , +10.77665206 ,  8.74
00.0226 , -46.02884131 , 12.43
00.0228 , +08.39393024 ,  8.16
00.0229 , +08.48557854 ,  5.70
00.0230 , +47.42295978 ,  7.62
00.0230 , +51.82997958 ,  8.95
00.0231 , +42.14779896 ,  8.97
00.0231 , +15.33519012 ,  8.94
00.0232 , +16.25655097 ,  7.24
00.0233 , +18.68336438 ,  8.24
00.0234 , +54.55216087 ,  8.62
00.0234 , -43.94791349 ,  8.53
00.0234 , -05.18664439 ,  8.54
00.0235 , +18.83599601 ,  8.56
00.0236 , +66.09896341 ,  5.87
00.0238 , +66.10037725 ,  7.20
00.0240 , +51.47241278 ,  7.70
00.0240 , +28.54222144 ,  8.17
00.0241 , +82.97320953 ,  7.29
00.0242 , +42.92069156 ,  7.94
00.0243 , -57.63363086 ,  8.42
00.0245 , +06.03445242 ,  8.56
00.0246 , +35.81547283 ,  7.52
00.0246 , +80.28224146 ,  7.74
00.0246 , -40.98317970 ,  8.85
00.0247 , +02.13037640 ,  7.17
00.0250 , +28.25189113 ,  7.64
00.0251 , +47.25228068 ,  8.27
00.0251 , +30.33651580 ,  8.44
00.0255 , -30.14977973 ,  8.43
00.0255 , +71.35854324 ,  8.49
00.0257 , -00.89382979 ,  8.09
00.0257 , -20.04607402 ,  6.25
00.0258 , +03.38193739 ,  8.56
00.0300 , +09.13829706 ,  8.76
00.0300 , -34.74405055 ,  7.76
00.0300 , -60.69189462 ,  7.82
00.0302 , +39.99515242 ,  7.90
00.0303 , -07.81552594 ,  8.52
00.0303 , +08.27080462 ,  8.10
00.0305 , +31.87010321 ,  8.75
00.0305 , +52.46516859 ,  8.14
00.0306 , -25.26104885 ,  8.65
00.0307 , -24.14513788 ,  6.46
00.0308 , +42.74791705 ,  6.73
00.0310 , -24.58828778 ,  7.96
00.0312 , -31.21239379 ,  8.87
00.0313 , +17.55239698 ,  6.59
00.0313 , +48.72233890 ,  8.65
00.0319 , +04.68713578 , 12.04
00.0319 , +38.24401553 ,  8.42
00.0320 , -11.94520986 ,  8.09
00.0320 , -04.14573041 ,  8.09
00.0322 , +59.07861165 ,  8.18
00.0322 , +23.57504990 ,  8.77
00.0324 , +73.17449052 ,  7.36
00.0325 , -26.41518293 ,  8.82
00.0325 , +63.64052431 ,  6.24
00.0325 , +20.66591788 ,  7.49
00.0326 , -36.25120504 ,  6.96
00.0327 , +55.55090206 ,  7.94
00.0327 , +62.35780416 ,  8.69
00.0327 , +53.31270092 ,  8.15
00.0330 , +55.05995058 ,  8.45
00.0330 , +19.38157170 ,  7.92
00.0330 , +12.35682896 ,  7.45
00.0331 , -35.60222342 ,  8.55
00.0333 , +42.35221969 ,  7.90
00.0336 , -51.80908752 ,  8.68
00.0336 , -31.09403248 ,  7.78
00.0337 , -28.41713516 ,  8.21
00.0338 , +70.30603307 ,  8.11
00.0339 , -57.16443914 ,  8.29
00.0340 , +03.90700467 ,  7.89
00.0341 , -28.39584776 ,  8.24
00.0341 , +48.43692667 ,  6.80
00.0342 , +13.36518977 ,  8.18
00.0344 , -63.60066163 ,  8.44
00.0344 , -17.33597002 ,  4.55
00.0344 , +42.02349764 ,  7.45
00.0351 , +66.71220273 ,  6.31
00.0352 , +57.37827711 ,  8.15
00.0352 , +22.29607151 ,  8.27
00.0353 , -28.39376930 ,  7.66
00.0353 , -57.83035720 ,  8.59
00.0356 , +14.37891704 ,  7.09
00.0356 , -45.28859728 ,  8.54
00.0357 , +36.97021204 ,  8.44
00.0357 , +61.10364174 ,  8.59
00.0357 , -48.12518732 ,  8.01
00.0358 , +20.95381941 ,  8.29
00.0400 , +12.14583388 ,  7.26
00.0400 , -80.39507010 ,  7.91
00.0403 , +62.22195138 ,  8.19
00.0407 , -25.89254967 ,  8.93
00.0408 , +56.92100467 ,  7.65
00.0410 , +17.43668381 ,  8.53
00.0410 , +49.87020726 ,  7.38
00.0410 , +39.12012608 ,  8.56
00.0410 , +11.26438632 ,  8.76
00.0411 , -30.13491782 ,  7.09
00.0413 , +62.28766460 ,  5.90
00.0414 , -34.41465369 ,  8.41
00.0415 , +60.15501928 ,  8.79
00.0415 , +14.08162325 ,  8.88
00.0415 , +65.15296110 ,  7.59
00.0416 , -59.31518062 ,  8.55
00.0417 , -43.98832631 ,  8.11
00.0419 , -16.52888969 ,  5.78
00.0420 , -29.26883006 ,  6.38
00.0421 , -53.90948292 ,  8.80
00.0421 , +54.27460172 ,  7.79
00.0421 , +12.95705512 ,  8.60
00.0422 , -29.38157885 ,  7.77
00.0423 , -57.32287483 , 10.37
00.0424 , -47.06812971 ,  9.80
00.0430 , -10.50949443 ,  4.99
00.0430 , -06.96533727 ,  8.43
00.0430 , -72.89722070 ,  7.33
00.0433 , -76.34653399 ,  8.93
00.0435 , -71.69499867 ,  8.73
00.0436 , +43.55131855 ,  8.12
00.0436 , -31.16905083 ,  8.94
00.0436 , +42.09256148 ,  6.11
00.0437 , +02.93722463 ,  7.90
00.0438 , -51.58336438 ,  7.13
00.0439 , -70.40421693 ,  7.46
00.0439 , -08.18490648 ,  8.72
00.0440 , +34.26519797 ,  7.02
00.0441 , +06.52258527 ,  8.37
00.0441 , -71.43685835 ,  5.59
00.0441 , +14.96533616 ,  7.37
00.0441 , +67.16638761 ,  5.68
00.0442 , +17.06977988 ,  8.56
00.0444 , +51.53385066 ,  8.72
00.0445 , +00.05649086 ,  8.82
00.0446 , +01.53694172 ,  8.18
00.0449 , +38.78622411 ,  8.46
00.0450 , -29.63304603 ,  8.28
00.0450 , +43.97079063 ,  8.18
00.0451 , +30.08593131 ,  7.93
00.0453 , +34.65955259 ,  6.09
00.0453 , -30.25661295 ,  8.31
00.0453 , -31.99660262 ,  7.83
00.0454 , +52.24894130 ,  8.72
00.0454 , +58.53217392 ,  6.61
00.0455 , +26.64879958 ,  6.25
00.0456 , +23.26964739 ,  7.82
00.0456 , +56.05695930 ,  8.66
00.0456 , +64.78140759 ,  8.15
00.0456 , -18.17850304 ,  8.97
00.0457 , +51.18064908 ,  8.15
00.0457 , +45.67395209 ,  7.47
00.0458 , +26.72525618 ,  8.63
00.0458 , -70.21220744 ,  8.13
00.0458 , +57.46874679 ,  8.23
00.0459 , -70.49241628 ,  8.41
00.0501 , +27.67479979 ,  6.47
00.0501 , +66.51678960 ,  8.64
00.0502 , -36.01527326 ,  7.73
00.0502 , -59.82810463 ,  8.64
00.0503 , +09.28002796 ,  8.94
00.0503 , +01.03782858 ,  8.84
00.0503 , -00.50290553 ,  6.32
00.0506 , +61.31396468 ,  5.80
00.0506 , -42.56781669 ,  8.97
00.0507 , -52.15142338 ,  7.53
00.0508 , +67.84002075 ,  7.41
00.0509 , +30.32911509 ,  7.80
00.0509 , -62.84527102 ,  8.14
00.0509 , +45.22907883 ,  6.71
00.0509 , -43.85083352 ,  8.73
00.0510 , +02.39731072 ,  8.69
00.0510 , +45.78693438 ,  9.95
00.0510 , -32.46851165 ,  7.10
00.0512 , +36.30368114 ,  8.09
00.0513 , +35.57110311 ,  6.88
00.0517 , -67.83122670 ,  8.49
00.0517 , +48.47719511 ,  8.30
00.0518 , -01.79412136 ,  7.95
00.0519 , +68.88440910 ,  7.08
00.0519 , -38.85723115 ,  6.93
00.0520 , -21.31530277 ,  8.38
00.0520 , -05.70783255 ,  4.61
00.0520 , -37.35168110 ,  8.56
00.0520 , -59.81448691 ,  8.78
00.0521 , -56.95562054 ,  7.42
00.0522 , +08.78795370 ,  8.26
00.0522 , -79.25391278 ,  7.71
00.0522 , +03.60610712 ,  6.91
00.0523 , +28.54375172 ,  8.99
00.0524 , +16.32907717 ,  8.63
00.0525 , -03.85159559 ,  7.59
00.0526 , -14.42209198 ,  7.39
00.0527 , -37.30254152 ,  7.78
00.0528 , -42.88738421 ,  7.47
